13
#n ret_price	total_distrib	tot_distrib_1st_year	reprints	num_reprints	tot_devol	tot_devol_1st_year	distrib_1st_edition	tot_sell_points	tot_sell_points_1st_year	weeks_sale	print-run	total_sales
21.88	53717	44319	27	38331	6927	2978	4195	985	822	148	41345	38160
17.31	52840	50007	10	25785	14395	10639	16351	1086	1018	143	34985	28769
18.27	30389	30061	11	18899	6939	5173	11642	950	908	146	29039	19405
26.92	24987	20974	27	19502	2386	1475	3426	717	605	141	22526	18858
17.69	15137	12854	16	8965	2087	1052	2703	668	556	144	11749	10375
17.31	15402	14161	8	9269	5074	2617	2821	653	605	112	11230	8639
12.5	11230	11137	9	4117	3791	3202	5268	491	479	147	8427	6708
18.27	14214	13957	3	2122	6815	6094	10195	589	560	113	12202	5905
18.22	7517	6826	0	0	1703	1251	3956	371	332	134	5832	4769
21.11	7359	6875	8	2792	1479	966	2466	546	505	111	6008	4765
16.35	12259	11766	4	2609	6528	5162	9761	722	688	137	11659	4478
18.27	5901	5064	9	3527	1079	665	1111	384	333	145	4893	4174
19.23	9800	9750	5	2175	5071	4223	5099	574	560	143	7135	4083
20.19	10979	10961	7	1783	6122	4931	7306	708	690	121	11033	3902
18.75	6419	4965	12	2963	1784	1249	1992	483	415	137	5289	3764
22.12	7641	7585	3	1746	3486	2858	4639	551	538	120	6676	3634
19.23	7065	7024	3	1537	2740	1942	4601	543	522	111	6282	3530
19.23	11082	11097	1	3	6828	5648	9543	573	553	113	9953	3416
21.06	4733	3920	5	2004	880	622	1788	356	309	137	3866	3403
22.07	5182	4675	4	1585	1171	860	2153	466	427	119	4862	3313
15.38	6506	6203	3	1323	2227	1540	3994	611	583	131	5493	3225
17.31	7958	7782	5	1816	4038	3375	4687	624	605	116	6846	3124
19.23	4168	2925	3	2022	755	427	1312	383	321	146	3522	2945
18.22	4823	4077	5	34	1440	1013	2353	459	402	145	3892	2676
19.04	7325	7043	3	9	4359	3714	5331	478	461	145	7677	2607
17.31	4311	3703	1	2	1474	1188	2579	455	426	146	2832	2406
