10
#n ret_pricer	reprints	num_reprints	gifts	distrib_novelty	tot_points_sale	tot_points_sale_1st_year	weeks_sale	print_run	 total_sales
   15.38	0	0	7	452	86	85	85	1250	41
   11.54	0	0	6	578	150	139	194	1324	107
   13.46	0	0	6	571	140	124	187	1430	205
   16.35	1	24	7	506	133	126	163	1024	221
   17.31	0	0	11	782	233	227	116	1530	291
   12.50	0	0	6	618	124	114	190	1472	340
   12.50	0	0	6	490	159	152	139	938	368
   16.35	0	0	6	530	166	154	121	1521	427
   17.31	1	224	6	818	246	232	172	1675	1111
   15.38	1	20	27	956	257	240	93	1454	1166
   14.42	0	0	7	315	74	70	176	900	106
    8.65	0	0	6	312	75	66	171	900	107
    9.62	0	0	7	215	92	92	54	325	121
   13.46	0	0	6	532	128	119	184	1380	130
   15.38	0	0	7	271	83	81	88	504	132
    8.65	0	0	7	210	89	89	55	300	134
    8.65	0	0	6	231	73	68	165	443	141
   11.54	0	0	6	458	121	112	151	962	164
   11.54	1	315	12	483	162	154	117	883	188
   18.27	2	203	9	241	116	114	87	476	192
    8.65	0	0	6	299	102	91	144	560	199
   12.50	0	0	6	471	166	157	192	940	213
   10.58	1	160	6	400	91	87	130	602	214
    8.65	3	495	7	323	90	86	86	520	245
    8.65	0	0	6	316	123	112	110	500	271
   13.46	2	24	7	450	115	104	82	499	326
   10.58	3	390	7	415	124	109	140	737	332
   16.35	0	0	8	560	175	162	108	1000	344
   13.46	0	0	6	973	279	267	194	1465	364
   12.50	0	0	6	474	115	104	182	880	367
   15.38	0	0	6	658	177	164	150	972	424
   12.50	0	0	6	579	181	170	119	1023	488
   21.15	0	0	6	851	193	175	142	1953	742
   19.23	1	1085	6	672	194	175	137	1185	806
   23.08	0	0	7	713	246	228	173	1420	819
   15.38	0	0	6	742	255	232	202	1470	881
   21.15	2	390	0	751	176	162	89	1418	900
   16.35	1	385	6	819	289	264	149	1348	962
   14.42	23	3842	9	1212	403	345	166	5272	4792
   16.30	1	14	6	669	104	93	179	1514	345
   19.18	2	26	6	1336	112	98	196	3026	397
   17.31	2	227	6	663	143	133	147	1227	423
   16.30	1	108	6	837	128	119	146	1308	871
   16.30	1	3	0	36	7	7	71	33	11
   17.21	7	661	7	323	73	68	90	1186	350
   13.37	1	74	6	1036	194	187	131	1374	377
   16.25	7	1409	0	1322	261	257	55	3509	668
   16.30	1	147	6	824	111	98	196	2147	374
   16.30	3	13	6	2479	299	295	120	5013	412
   25.87	5	432	7	540	171	171	55	1432	600
   17.26	5	602	8	803	195	192	55	1602	734
    9.57	3	759	6	1287	113	105	142	2259	1531
   16.30	6	2145	8	1280	216	204	91	3405	1658
   16.30	10	7149	9	3088	400	355	173	9649	8960
   17.79	15	14427	8	2173	608	462	76	16227	14774
   21.11	1	73	7	1652	270	246	158	3073	797
   16.30	4	2447	6	1966	106	97	140	4447	1540
   13.94	2	961	6	1179	252	246	132	2161	275
   19.18	6	1156	10	1053	256	249	82	2656	513
   18.27	2	600	6	1064	238	184	120	2600	945
   15.34	6	1107	7	861	192	190	56	2707	560
   16.25	4	469	8	1706	340	316	107	3069	2572
   14.42	0	0	7	27	19	15	83	25	19
   19.18	0	0	7	304	72	71	58	700	98
   20.14	0	0	7	266	84	80	87	500	111
   14.38	0	0	6	274	82	76	159	500	139
   20.14	0	0	6	293	74	67	105	600	153
   21.15	0	0	6	303	80	75	138	500	153
   21.15	0	0	7	237	71	68	77	500	157
   22.07	0	0	7	287	72	67	95	600	165
   18.22	0	0	6	402	108	100	138	500	176
   22.07	0	0	7	297	82	80	87	600	185
   19.18	0	0	6	304	92	85	110	600	185
   21.15	0	0	6	493	115	103	195	800	194
   19.18	0	0	7	329	126	126	55	600	197
   18.22	0	0	6	325	95	92	172	584	204
   22.07	1	50	7	511	147	143	72	650	204
   22.07	0	0	7	262	77	72	78	500	214
   20.14	0	0	6	312	83	76	179	500	217
   23.08	0	0	6	279	81	77	146	500	220
   24.04	3	164	7	544	157	156	64	664	227
   21.15	1	506	6	296	79	69	104	1006	229
   19.18	0	0	6	419	96	91	201	900	231
   21.15	0	0	6	266	84	76	108	500	232
   22.07	0	0	6	249	71	62	127	600	233
   24.04	0	0	6	279	87	64	156	500	235
   16.30	0	0	6	422	99	91	195	900	248
   19.23	0	0	8	456	157	156	55	700	249
   19.18	1	150	6	344	70	59	158	850	260
   21.15	0	0	6	430	106	99	195	900	271
   22.07	0	0	6	301	105	96	147	500	271
   22.07	1	50	7	523	153	148	72	644	277
   18.22	0	0	6	351	64	58	143	500	281
   19.18	0	0	7	309	79	79	56	591	284
   19.18	3	305	7	539	155	151	63	805	289
   22.07	0	0	6	282	82	54	142	500	303
   23.03	0	0	6	388	142	137	114	600	304
   23.03	0	0	6	325	97	81	133	700	328
   19.18	0	0	6	365	88	78	179	683	333
   19.18	0	0	6	349	79	69	157	500	350
   19.18	0	0	6	462	87	71	127	600	361
   21.15	0	0	6	358	92	81	185	750	381
   21.15	0	0	6	438	114	96	203	900	414
   22.07	0	0	6	443	119	98	199	900	448
   22.07	0	0	6	329	112	94	171	600	544
   18.22	5	467	6	298	129	95	165	867	719
   21.15	0	0	9	267	98	92	95	457	103
   21.15	0	0	6	254	84	74	163	400	116
   21.15	0	0	6	434	114	103	193	700	265
   22.07	0	0	6	525	169	156	167	700	336
   19.18	0	0	6	314	89	83	123	1000	184
    7.69	1	50	6	130	55	49	144	170	28
    7.69	1	50	7	157	56	54	88	250	41
    9.57	2	50	7	148	55	51	78	150	77
    8.61	2	75	7	240	62	61	90	275	89
   21.15	0	0	6	185	64	57	186	506	65
   14.38	1	563	6	298	65	63	159	1151	114
   19.23	0	0	7	321	130	128	68	500	71
   21.15	0	0	6	251	100	87	142	400	96
   19.23	0	0	6	296	72	58	157	400	128
   15.87	0	0	6	369	113	104	115	500	159
   19.23	1	26	6	275	94	84	138	526	215
   15.87	0	0	6	282	106	95	127	500	283
   19.23	0	0	6	316	116	100	164	500	297
   19.23	1	50	6	328	117	95	133	550	343
   16.83	0	0	7	392	112	95	95	500	425
    9.62	0	0	7	308	30	30	80	400	36
    9.62	1	275	6	176	35	31	122	425	38
   15.38	0	0	0	266	35	34	85	403	93
   17.31	0	0	6	356	42	36	138	641	248
   24.04	0	0	6	456	30	25	159	640	349
   33.65	1	768	6	1276	45	40	142	1596	375
   14.42	0	0	6	789	43	37	143	939	714
   37.50	1	759	6	451	99	90	170	2389	1756
   14.42	0	0	6	485	69	66	195	1511	369
   15.38	0	0	7	241	63	59	80	510	288
   21.15	0	0	6	719	125	109	196	1700	778
   14.42	0	0	7	103	66	66	59	100	49
   11.54	2	100	7	171	43	43	58	250	102
    9.62	0	0	7	1133	37	31	180	1664	352
   14.42	0	0	6	524	71	64	143	1272	251
   14.42	0	0	6	545	58	50	170	1420	281
   19.23	0	0	7	120	39	39	76	125	30
   11.54	0	0	6	602	32	29	152	1550	34
   11.54	1	50	7	108	52	52	61	100	82
   16.35	0	0	6	723	97	93	165	1980	94
   16.35	0	0	6	667	88	84	157	1694	191
   16.35	0	0	7	1052	98	89	135	1824	232
   17.31	0	0	6	700	77	74	133	1314	418
   17.31	1	528	7	270	53	49	94	928	440
   19.23	0	0	7	257	30	30	82	398	21
   19.23	2	45	7	92	39	38	61	95	35
   19.23	1	50	7	121	26	26	47	150	43
   19.23	0	0	7	272	40	40	69	420	53
   15.38	0	0	7	306	34	32	82	400	62
   14.42	0	0	6	605	89	87	146	1521	100
    9.62	0	0	7	329	49	48	90	650	169
   16.35	0	0	6	613	73	67	114	1428	179
   24.04	1	1460	7	1285	160	157	94	2860	420
   14.42	0	0	6	897	118	108	165	1632	604
   33.65	0	0	6	210	28	26	145	208	159
   19.23	2	68	6	921	188	181	120	2180	419
   21.15	1	21	7	188	27	27	70	200	71
   19.23	3	216	7	166	35	35	59	416	194
   21.15	2	150	7	291	36	36	54	400	207
   33.65	0	0	6	972	66	61	118	1766	678
   17.31	0	0	6	269	18	18	105	576	111
   14.42	0	0	7	145	71	70	72	420	39
   14.42	3	75	8	165	67	64	62	200	87
   17.31	1	165	0	508	79	79	84	1537	113
   14.42	0	0	7	305	87	81	85	400	118
   17.31	8	550	7	106	17	17	41	650	633
   15.38	4	250	7	150	67	67	53	325	215
   11.54	0	0	0	3	2	1	46	10	3
   15.38	0	0	7	13	11	11	25	23	13
   14.42	3	48	0	64	14	13	129	78	30
   13.46	0	0	6	936	148	141	158	1347	208
   18.27	1	20	6	136	74	69	172	140	46
   13.46	0	0	6	544	116	110	101	1130	114
   10.58	1	49	6	59	38	35	155	99	11
    9.62	1	8	6	57	35	32	153	58	12
   15.38	1	8	0	18	2	2	47	22	20
   11.54	0	0	6	561	110	100	129	1121	139
   14.42	0	0	6	540	129	120	104	1480	145
   13.46	0	0	6	480	126	123	109	866	159
   14.42	0	0	0	2	2	2	30	27	1
   14.42	1	16	6	49	39	37	89	56	11
   15.38	1	19	7	79	52	52	72	79	23
   13.46	0	0	6	333	72	68	191	738	38
   14.42	1	50	6	185	79	78	153	175	64
   14.42	0	0	6	400	52	49	109	1088	102
   14.42	0	0	6	417	83	70	176	915	105
   15.38	0	0	6	551	100	95	111	1074	127
   16.35	1	30	6	199	78	73	202	273	32
   14.42	0	0	0	7	7	5	132	10	0
   17.31	0	0	0	6	6	2	124	10	0
   11.54	0	0	0	5	1	1	123	10	1
   13.46	0	0	0	1	1	0	1	10	1
   11.54	0	0	0	1	1	0	0	10	1
   15.38	0	0	0	5	3	2	43	9	2
   14.42	0	0	0	1	1	0	28	10	2
   17.31	0	0	0	3	3	1	104	10	2
   11.54	0	0	0	1	1	0	28	10	2
    9.62	0	0	0	6	5	2	102	10	3
    8.65	0	0	0	2	2	0	45	10	3
   10.58	0	0	0	3	3	0	55	10	3
   16.35	0	0	0	4	3	1	66	20	4
   86.54	0	0	0	4	4	2	100	10	4
   16.35	0	0	0	3	3	3	96	10	5
   17.31	0	0	0	10	9	3	98	10	6
   15.38	1	40	0	16	9	5	121	50	8
   14.42	1	10	0	7	2	1	105	20	9
   14.42	1	10	0	11	7	3	108	20	11
   11.54	1	10	0	10	8	3	111	20	18
   14.42	2	65	0	6	2	1	125	70	22
   21.15	1	10	0	-3	3	1	92	10	7
   16.35	0	0	0	22	10	8	105	30	12
   17.31	0	0	6	132	58	56	131	200	78
   23.08	0	0	6	67	43	36	130	90	9
   14.42	0	0	6	13	10	10	105	50	7
   14.42	3	75	8	90	56	55	64	125	35
   19.23	0	0	7	137	71	69	78	150	38
   19.23	0	0	6	231	78	76	105	500	83
   76.92	0	0	6	136	54	52	101	200	155
   12.50	0	0	0	87	22	21	72	200	70
    9.62	0	0	6	146	44	43	115	200	89
    9.62	1	15	6	214	88	86	163	240	100
    9.62	1	11	6	195	87	81	160	236	119
   25.00	0	0	6	107	54	52	121	170	46
   43.27	0	0	6	17	14	14	39	192	11
   33.17	0	0	6	167	67	65	128	192	81
   19.23	1	6	6	176	71	69	169	198	86
   51.92	0	0	6	35	25	22	132	45	10
   47.12	0	0	7	47	34	33	77	60	12
   47.12	0	0	6	42	27	24	106	68	12
   19.23	2	332	6	398	156	139	193	598	573
   28.85	0	0	7	105	52	49	70	138	44
   44.23	0	0	6	75	49	44	119	97	64
